School Year,District,City,State,StudentID,Grade,Math Score,Reading Score,Math Tutor,Math Tutor Hours,Math Tutor Period,Reading Tutor,Reading Tutor Hours,Reading Tutor Period
2022-2023,,,,505,11,493,428,,,,,,
2022-2023,,,,506,9,362,417,,,,,,
2022-2023,,,,507,10,417,146,,,,Liam Foster,19,2
2022-2023,,,,508,10,310,421,,,,,,
2022-2023,,,,509,9,413,227,,,,,,
2022-2023,,,,510,10,286,315,,,,,,
2022-2023,,,,511,9,265,292,,,,,,
2022-2023,,,,512,10,488,339,,,,,,
2022-2023,,,,513,11,238,329,,,,,,
2022-2023,,,,514,11,497,386,,,,,,
2022-2023,,,,515,9,258,323,,,,,,
2022-2023,,,,516,10,442,162,,,,Grace Murphy,7,2
2022-2023,,,,517,9,289,416,,,,,,
2022-2023,,,,518,10,455,215,,,,,,
2022-2023,,,,519,9,375,315,,,,,,
2022-2023,,,,520,11,263,304,,,,,,
2022-2023,,,,521,9,203,176,,,,Abigail Nelson,20,6
2022-2023,,,,522,11,244,151,,,,Scarlett Parker,23,4
2022-2023,,,,523,9,239,241,,,,,,
2022-2023,,,,524,11,327,199,,,,Amelia Brooks,37,2
2022-2023,,,,525,11,232,417,,,,,,
2022-2023,,,,526,11,191,312,Emily Foster,23,3,,,
2022-2023,,,,527,10,198,319,Daniel Wright,33,2,,,
2022-2023,,,,528,9,408,306,,,,,,
2022-2023,,,,529,10,391,145,,,,Amelia Brooks,32,3
2022-2023,,,,530,10,217,219,,,,,,
2022-2023,,,,531,11,151,207,Andrew Ross,6,2,,,
2022-2023,,,,532,10,369,240,,,,,,
2022-2023,,,,533,11,215,489,,,,,,
2022-2023,,,,534,10,448,390,,,,,,
2022-2023,,,,535,10,288,492,,,,,,
2022-2023,Magnolia Springs School District,Knoxville,TN,536,9,210,324,,,,,,
2022-2023,,,,537,9,237,228,,,,,,
2022-2023,,,,538,10,466,267,,,,,,
2022-2023,,,,539,10,259,304,,,,,,
2022-2023,,,,540,9,166,317,William Carter,2,2,,,
2022-2023,,,,541,9,287,457,,,,,,
2022-2023,,,,542,11,488,136,,,,Ava Parker,9,6
2022-2023,,,,543,10,313,181,,,,Abigail Nelson,4,6
2022-2023,,,,544,11,135,208,Samuel Gray,9,3,,,
2022-2023,,,,545,10,315,202,,,,,,
2022-2023,,,,546,10,271,211,,,,,,
2022-2023,,,,547,10,320,462,,,,,,
2022-2023,,,,548,11,269,219,,,,,,
2022-2023,,,,549,10,125,376,Sophia Reynolds,27,1,,,
2022-2023,,,,550,9,322,282,,,,,,
2022-2023,,,,551,9,264,287,,,,,,
2022-2023,,,,552,10,199,291,Isabella Bennett,20,3,,,
2022-2023,,,,553,10,487,205,,,,,,
2022-2023,,,,554,10,274,137,,,,Grace Murphy,30,4
2022-2023,,,,555,10,356,367,,,,,,
2022-2023,,,,556,9,404,135,,,,Scarlett Parker,40,2
2022-2023,,,,557,9,462,387,,,,,,
2022-2023,,,,558,10,218,156,,,,Michael Adams,28,5
2022-2023,,,,559,11,491,296,,,,,,
2022-2023,,,,560,9,489,473,,,,,,
2022-2023,,,,561,9,196,247,Liam Foster,30,1,,,
2022-2023,,,,562,10,313,254,,,,,,
2022-2023,,,,563,11,216,155,,,,Andrew Ross,29,4
2022-2023,,,,564,11,233,356,,,,,,
2022-2023,,,,565,9,184,454,Ethan Morgan,12,4,,,
2022-2023,,,,566,10,166,238,Samuel Gray,21,4,,,
2022-2023,,,,567,10,177,289,Sofia Reed,12,4,,,
2022-2023,,,,568,9,380,390,,,,,,
2022-2023,,,,569,10,452,193,,,,James Turner,24,4
2022-2023,,,,570,9,265,457,,,,,,
2022-2023,,,,571,10,306,123,,,,James Turner,29,3
2022-2023,,,,572,11,327,306,,,,,,
2022-2023,,,,573,9,283,313,,,,,,
2022-2023,,,,574,11,139,400,James Turner,10,2,,,
2022-2023,,,,575,9,225,137,,,,Ava Parker,13,1
2022-2023,,,,576,9,150,130,Grace Murphy,11,3,Grace Murphy,28,3
2022-2023,,,,577,9,229,388,,,,,,
2022-2023,,,,578,11,197,230,Ava Parker,5,3,,,
2022-2023,,,,579,10,263,166,,,,Benjamin Cooper,19,1
2022-2023,,,,580,11,123,127,Nicholas Turner,9,6,Nicholas Turner,32,3
2022-2023,,,,581,9,246,305,,,,,,
2022-2023,,,,582,11,159,373,Lily Bennett,30,1,,,
2022-2023,,,,583,11,452,246,,,,,,
2022-2023,,,,584,11,432,496,,,,,,
2022-2023,,,,585,9,160,235,Liam Foster,13,1,,,
2022-2023,,,,586,11,209,457,,,,,,
2022-2023,,,,587,10,390,489,,,,,,
2022-2023,,,,588,9,139,423,Scarlett Parker,25,5,,,
2022-2023,,,,589,9,230,446,,,,,,
2022-2023,,,,590,10,280,202,,,,,,
2022-2023,Maple Ridge Central District,New Haven,CT,591,11,433,428,,,,,,
2022-2023,,,,592,11,293,233,,,,,,
2022-2023,,,,593,11,214,487,,,,,,
2022-2023,,,,594,11,207,363,,,,,,
2022-2023,,,,595,10,435,425,,,,,,
2022-2023,,,,596,11,403,183,,,,Mia Richardson,17,4
2022-2023,,,,597,10,138,489,Abigail Nelson,5,3,,,
2022-2023,,,,598,9,402,478,,,,,,
2022-2023,,,,599,11,300,490,,,,,,
2022-2023,,,,600,11,496,378,,,,,,
2022-2023,,,,601,11,498,490,,,,,,
2022-2023,,,,602,9,295,418,,,,,,
2022-2023,,,,603,10,487,418,,,,,,
2022-2023,,,,604,9,185,411,Aria Peterson,18,4,,,
2022-2023,,,,605,10,438,183,,,,Joseph Coleman,19,4
2022-2023,,,,606,11,421,355,,,,,,
2022-2023,,,,607,9,376,386,,,,,,
2022-2023,,,,608,11,326,362,,,,,,
2022-2023,,,,609,11,443,218,,,,,,
2022-2023,,,,610,10,387,355,,,,,,
2022-2023,,,,611,10,475,363,,,,,,
2022-2023,,,,612,11,409,204,,,,,,
2022-2023,,,,613,9,186,369,Benjamin Cooper,32,5,,,
2022-2023,,,,614,11,289,124,,,,Chloe Rivera,24,1
2022-2023,,,,615,11,279,169,,,,William Carter,16,5
2022-2023,,,,616,9,122,409,Benjamin Cooper,15,1,,,
2022-2023,,,,617,9,138,464,Chloe Rivera,40,3,,,
2022-2023,,,,618,11,194,413,Christopher Price,40,1,,,
2022-2023,,,,619,9,169,369,Lily Bennett,40,2,,,
2022-2023,,,,620,10,176,148,Chloe Rivera,35,3,Chloe Rivera,25,4
2022-2023,,,,621,9,456,131,,,,Nicholas Turner,13,6
2022-2023,,,,622,11,216,342,,,,,,
2022-2023,,,,623,9,297,383,,,,,,
2022-2023,,,,624,9,406,391,,,,,,
2022-2023,,,,625,9,194,226,Matthew Hughes,7,6,,,
2022-2023,,,,626,9,211,417,,,,,,
2022-2023,,,,627,10,341,200,,,,,,
2022-2023,,,,628,11,333,161,,,,Ava Parker,19,1
2022-2023,,,,629,9,258,164,,,,Daniel Wright,38,6
2022-2023,,,,630,11,390,256,,,,,,
2022-2023,,,,631,10,127,359,Scarlett Parker,20,1,,,
2022-2023,,,,632,10,394,179,,,,Joseph Coleman,32,2
2022-2023,,,,633,10,301,480,,,,,,
2022-2023,,,,634,9,178,126,James Turner,15,5,James Turner,14,4
2022-2023,,,,635,10,321,163,,,,Elizabeth Scott,13,1
2022-2023,,,,636,10,189,426,Sofia Reed,36,6,,,
2022-2023,,,,637,11,250,194,,,,Ryan Hayes,20,5
2022-2023,,,,638,9,398,394,,,,,,
2022-2023,,,,639,9,327,498,,,,,,
2022-2023,,,,640,11,246,219,,,,,,
2022-2023,Oakwood County School System,Phoenix,AZ,641,9,253,303,,,,,,
2022-2023,,,,642,11,478,203,,,,,,
2022-2023,,,,643,11,205,233,,,,,,
2022-2023,,,,644,10,459,223,,,,,,
2022-2023,,,,645,9,280,225,,,,,,
2022-2023,,,,646,9,136,456,Lily Bennett,33,6,,,
2022-2023,,,,647,10,218,449,,,,,,
2022-2023,,,,648,9,129,377,Isabella Bennett,2,5,,,
2022-2023,,,,649,10,388,366,,,,,,
2022-2023,,,,650,11,312,477,,,,,,
2022-2023,,,,651,9,466,464,,,,,,
2022-2023,,,,652,10,480,133,,,,Ryan Hayes,9,5
2022-2023,,,,653,10,385,365,,,,,,
2022-2023,,,,654,9,385,227,,,,,,
2022-2023,,,,655,9,254,122,,,,Ella Simmons,7,6
2022-2023,,,,656,9,264,179,,,,Emily Foster,22,5
2022-2023,,,,657,11,128,148,Ryan Hayes,40,5,Ryan Hayes,14,5
2022-2023,,,,658,11,140,463,Noah Hayes,36,5,,,
2022-2023,,,,659,10,243,139,,,,Ryan Hayes,4,2
2022-2023,,,,660,11,137,473,Abigail Nelson,18,4,,,
2022-2023,,,,661,9,437,158,,,,Harper Ward,7,1
2022-2023,,,,662,10,195,214,Sofia Reed,12,3,,,
2022-2023,,,,663,10,306,313,,,,,,
2022-2023,,,,664,10,365,165,,,,Alexander Gray,17,3
2022-2023,,,,665,11,199,183,Abigail Nelson,22,5,Abigail Nelson,25,2
2022-2023,,,,666,10,233,341,,,,,,
2022-2023,,,,667,10,443,482,,,,,,
2022-2023,,,,668,11,265,142,,,,Michael Adams,26,1
2022-2023,,,,669,10,133,436,Ava Parker,5,6,,,
2022-2023,,,,670,10,306,157,,,,Matthew Hughes,26,5
2022-2023,,,,671,10,152,153,Joshua Butler,11,6,Joshua Butler,4,1
2022-2023,,,,672,11,346,298,,,,,,
2022-2023,,,,673,9,179,421,Scarlett Parker,31,1,,,
2022-2023,,,,674,9,270,208,,,,,,
2022-2023,,,,675,11,272,268,,,,,,
2022-2023,,,,676,9,209,464,,,,,,
2022-2023,,,,677,11,296,406,,,,,,
2022-2023,,,,678,11,492,492,,,,,,
2022-2023,,,,679,9,137,496,Abigail Nelson,3,6,,,
2022-2023,,,,680,11,310,490,,,,,,
2022-2023,,,,681,10,200,333,,,,,,
2022-2023,,,,682,9,449,151,,,,Lily Bennett,14,6
2022-2023,,,,683,11,426,441,,,,,,
2022-2023,,,,684,9,431,288,,,,,,
2022-2023,,,,685,11,132,394,Daniel Wright,12,5,,,
2022-2023,,,,686,11,196,343,Grace Murphy,21,3,,,
2022-2023,,,,687,9,323,455,,,,,,
2022-2023,,,,688,11,314,297,,,,,,
2022-2023,,,,689,10,301,436,,,,,,
2022-2023,,,,690,11,330,251,,,,,,
2022-2023,,,,691,10,195,220,Mia Richardson,12,6,,,
2022-2023,Pinecrest Educational Consortium,Marietta,GA,692,10,420,487,,,,,,
2022-2023,,,,693,11,483,479,,,,,,
2022-2023,,,,694,10,306,436,,,,,,
2022-2023,,,,695,10,439,131,,,,Lily Bennett,12,3
2022-2023,,,,696,10,385,132,,,,Sophia Reynolds,38,1
2022-2023,,,,697,9,276,300,,,,,,
2022-2023,,,,698,10,226,405,,,,,,
2022-2023,,,,699,11,315,364,,,,,,
2022-2023,,,,700,9,250,448,,,,,,
2022-2023,,,,701,10,288,167,,,,Ryan Hayes,10,5
2022-2023,,,,702,10,200,498,,,,,,
2022-2023,,,,703,11,194,336,Amelia Brooks,6,1,,,
2022-2023,,,,704,10,214,350,,,,,,
2022-2023,,,,705,11,424,254,,,,,,
2022-2023,,,,706,11,405,290,,,,,,
2022-2023,,,,707,9,374,194,,,,Ryan Hayes,14,4
2022-2023,,,,708,10,152,312,Chloe Rivera,32,6,,,
2022-2023,,,,709,9,168,249,Liam Foster,34,4,,,
2022-2023,,,,710,9,496,357,,,,,,
2022-2023,,,,711,10,431,209,,,,,,
2022-2023,,,,712,11,151,271,Sophia Reynolds,38,4,,,
2022-2023,,,,713,11,434,411,,,,,,
2022-2023,,,,714,9,311,187,,,,Ella Simmons,26,6
2022-2023,,,,715,11,429,219,,,,,,
2022-2023,,,,716,11,217,287,,,,,,
2022-2023,,,,717,9,180,431,Charlotte Peterson,2,1,,,
2022-2023,,,,718,10,282,254,,,,,,
2022-2023,,,,719,11,388,255,,,,,,
2022-2023,,,,720,11,202,173,,,,Ava Parker,12,1
2022-2023,,,,721,10,226,282,,,,,,
2022-2023,,,,722,9,384,233,,,,,,
2022-2023,,,,723,9,242,371,,,,,,
2022-2023,,,,724,11,194,164,Sofia Reed,13,2,Sofia Reed,7,5
2022-2023,,,,725,11,292,412,,,,,,
2022-2023,,,,726,9,412,205,,,,,,
2022-2023,,,,727,9,256,230,,,,,,
2022-2023,,,,728,10,230,197,,,,Alexander Gray,29,1
2022-2023,,,,729,10,482,289,,,,,,
2022-2023,,,,730,10,187,253,Daniel Wright,32,4,,,
2022-2023,,,,731,10,193,410,Avery Foster,7,1,,,
2022-2023,,,,732,10,249,125,,,,David Mitchell,10,5
2022-2023,,,,733,11,397,370,,,,,,
2022-2023,,,,734,10,475,313,,,,,,
2022-2023,,,,735,9,424,284,,,,,,
2022-2023,,,,736,11,197,295,Chloe Rivera,3,3,,,
2022-2023,,,,737,11,405,141,,,,Ryan Hayes,19,4
2022-2023,,,,738,10,161,283,Matthew Hughes,11,1,,,
2022-2023,,,,739,9,164,258,Sofia Reed,26,1,,,
2022-2023,,,,740,10,338,500,,,,,,
2022-2023,,,,741,11,202,250,,,,,,
2022-2023,,,,742,11,197,196,Amelia Brooks,36,1,Amelia Brooks,35,2
2022-2023,Redwood Grove Educational Network,Reno,NV,743,11,409,248,,,,,,
2022-2023,,,,744,11,429,291,,,,,,
2022-2023,,,,745,9,463,151,,,,Ethan Morgan,13,1
2022-2023,,,,746,11,350,485,,,,,,
2022-2023,,,,747,11,302,253,,,,,,
2022-2023,,,,748,9,448,285,,,,,,
2022-2023,,,,749,11,379,405,,,,,,
2022-2023,,,,750,9,468,211,,,,,,
2022-2023,,,,751,11,218,260,,,,,,
2022-2023,,,,752,9,484,144,,,,Sophia Reynolds,32,6
2022-2023,,,,753,11,356,394,,,,,,
2022-2023,,,,754,10,221,153,,,,Isabella Bennett,16,4
2022-2023,,,,755,10,299,336,,,,,,
2022-2023,,,,756,11,483,375,,,,,,
2022-2023,,,,757,9,386,221,,,,,,
2022-2023,,,,758,10,191,318,David Mitchell,27,6,,,
2022-2023,,,,759,10,295,322,,,,,,
2022-2023,,,,760,9,299,300,,,,,,
2022-2023,,,,761,11,193,175,Evelyn Mitchell,14,5,Evelyn Mitchell,16,3
2022-2023,,,,762,11,215,490,,,,,,
2022-2023,,,,763,11,277,394,,,,,,
2022-2023,,,,764,10,276,443,,,,,,
2022-2023,,,,765,10,465,177,,,,Alexander Gray,24,5
2022-2023,,,,766,9,333,465,,,,,,
2022-2023,,,,767,9,334,491,,,,,,
2022-2023,,,,768,10,470,479,,,,,,
2022-2023,,,,769,11,298,309,,,,,,
2022-2023,,,,770,11,204,153,,,,Olivia Simmons,39,2
2022-2023,,,,771,11,351,373,,,,,,
2022-2023,,,,772,9,454,238,,,,,,
2022-2023,,,,773,9,182,396,Ryan Hayes,30,5,,,
2022-2023,,,,774,10,447,230,,,,,,
2022-2023,,,,775,10,407,323,,,,,,
2022-2023,,,,776,11,489,132,,,,Avery Foster,14,5
2022-2023,,,,777,10,394,159,,,,Daniel Morgan,38,5
2022-2023,,,,778,11,161,170,Mia Richardson,40,2,Mia Richardson,11,5
2022-2023,,,,779,10,287,211,,,,,,
2022-2023,,,,780,11,459,160,,,,Avery Foster,40,3
2022-2023,,,,781,11,334,297,,,,,,
2022-2023,,,,782,10,323,368,,,,,,
2022-2023,,,,783,9,264,376,,,,,,
2022-2023,,,,784,11,405,377,,,,,,
2022-2023,,,,785,10,124,171,Ethan Morgan,7,6,Ethan Morgan,40,5
2022-2023,,,,786,11,326,242,,,,,,
2022-2023,,,,787,10,339,205,,,,,,
2022-2023,,,,788,9,195,378,Elizabeth Scott,11,5,,,
2022-2023,,,,789,9,381,214,,,,,,
2022-2023,,,,790,10,144,413,Henry Cooper,29,5,,,
2022-2023,,,,791,10,189,371,Scarlett Parker,18,1,,,
2022-2023,,,,792,11,500,323,,,,,,
2022-2023,,,,793,9,125,204,Liam Foster,4,5,,,
2022-2023,,,,794,11,248,200,,,,,,
2022-2023,,,,795,11,403,426,,,,,,
2022-2023,Sunflower Hills Independent Schools,Green Bay,WI,796,10,317,165,,,,Michael Adams,38,5
2022-2023,,,,797,9,488,246,,,,,,
2022-2023,,,,798,11,353,209,,,,,,
2022-2023,,,,799,9,205,495,,,,,,
2022-2023,,,,800,9,228,440,,,,,,
2022-2023,,,,801,10,445,354,,,,,,
2022-2023,,,,802,11,154,228,Charlotte Peterson,34,3,,,
2022-2023,,,,803,10,345,352,,,,,,
2022-2023,,,,804,9,363,370,,,,,,
2022-2023,,,,805,10,180,479,Scarlett Parker,36,2,,,
2022-2023,,,,806,11,227,455,,,,,,
2022-2023,,,,807,11,392,143,,,,Scarlett Parker,35,1
2022-2023,,,,808,11,235,320,,,,,,
2022-2023,,,,809,10,445,186,,,,Christopher Price,33,1
2022-2023,,,,810,10,316,474,,,,,,
2022-2023,,,,811,11,469,418,,,,,,
2022-2023,,,,812,9,138,317,Joseph Coleman,14,2,,,
2022-2023,,,,813,10,491,136,,,,Matthew Hughes,4,3
2022-2023,,,,814,10,386,406,,,,,,
2022-2023,,,,815,10,289,456,,,,,,
2022-2023,,,,816,11,356,140,,,,David Mitchell,24,4
2022-2023,,,,817,10,396,471,,,,,,
2022-2023,,,,818,11,196,169,Avery Foster,3,4,Avery Foster,23,5
2022-2023,,,,819,10,439,249,,,,,,
2022-2023,,,,820,10,287,220,,,,,,
2022-2023,,,,821,9,305,156,,,,Ethan Morgan,7,5
2022-2023,,,,822,9,370,194,,,,Abigail Nelson,8,2
2022-2023,,,,823,9,475,263,,,,,,
2022-2023,,,,824,9,299,430,,,,,,
2022-2023,,,,825,10,210,226,,,,,,
2022-2023,,,,826,9,460,333,,,,,,
2022-2023,,,,827,9,131,376,Liam Foster,17,6,,,
2022-2023,,,,828,9,155,414,Abigail Nelson,33,6,,,
2022-2023,,,,829,10,464,223,,,,,,
2022-2023,,,,830,10,301,416,,,,,,
2022-2023,,,,831,11,193,182,James Turner,5,5,James Turner,19,3
2022-2023,,,,832,11,262,327,,,,,,
2022-2023,,,,833,10,231,238,,,,,,
2022-2023,,,,834,11,260,152,,,,Ava Parker,22,5
2022-2023,,,,835,11,248,232,,,,,,
2022-2023,,,,836,10,266,488,,,,,,
2022-2023,,,,837,9,281,296,,,,,,
2022-2023,,,,838,9,343,198,,,,Daniel Wright,20,6
2022-2023,,,,839,11,481,372,,,,,,
2022-2023,,,,840,10,190,397,Matthew Hughes,33,1,,,
2022-2023,,,,841,11,247,290,,,,,,
2022-2023,,,,842,11,272,143,,,,Isabella Bennett,34,2
2022-2023,,,,843,9,229,498,,,,,,
2022-2023,,,,844,11,185,217,Joseph Coleman,36,2,,,
2022-2023,,,,845,9,230,320,,,,,,
2022-2023,,,,846,9,429,491,,,,,,
2022-2023,Sycamore Ridge Unified,New York City,NY,847,10,178,148,Sophia Reynolds,27,6,Sophia Reynolds,34,1
2022-2023,,,,848,9,350,487,,,,,,
2022-2023,,,,849,10,357,157,,,,Evelyn Mitchell,24,3
2022-2023,,,,850,10,305,126,,,,Ethan Morgan,8,3
2022-2023,,,,851,11,310,145,,,,William Carter,26,2
2022-2023,,,,852,9,360,381,,,,,,
2022-2023,,,,853,10,289,489,,,,,,
2022-2023,,,,854,11,220,415,,,,,,
2022-2023,,,,855,10,248,367,,,,,,
2022-2023,,,,856,9,336,325,,,,,,
2022-2023,,,,857,11,500,141,,,,Isabella Bennett,11,2
2022-2023,,,,858,9,472,299,,,,,,
2022-2023,,,,859,9,272,468,,,,,,
2022-2023,,,,860,9,196,253,Nicholas Turner,26,5,,,
2022-2023,,,,861,10,223,170,,,,Christopher Price,2,6
2022-2023,,,,862,9,430,137,,,,Emily Foster,39,6
2022-2023,,,,863,9,402,357,,,,,,
2022-2023,,,,864,9,452,304,,,,,,
2022-2023,,,,865,11,178,204,Samuel Gray,33,3,,,
2022-2023,,,,866,11,186,225,Olivia Simmons,31,2,,,
2022-2023,,,,867,10,322,221,,,,,,
2022-2023,,,,868,11,446,303,,,,,,
2022-2023,,,,869,11,218,468,,,,,,
2022-2023,,,,870,11,173,238,Sophia Reynolds,17,6,,,
2022-2023,,,,871,9,248,190,,,,Alexander Gray,10,5
2022-2023,,,,872,9,464,294,,,,,,
2022-2023,,,,873,10,406,347,,,,,,
2022-2023,,,,874,10,298,180,,,,Samuel Gray,33,2
2022-2023,,,,875,9,265,144,,,,Olivia Simmons,36,5
2022-2023,,,,876,11,238,248,,,,,,
2022-2023,,,,877,9,145,463,Ava Parker,35,5,,,
2022-2023,,,,878,9,216,272,,,,,,
2022-2023,,,,879,11,474,403,,,,,,
2022-2023,,,,880,11,247,280,,,,,,
2022-2023,,,,881,10,380,352,,,,,,
2022-2023,,,,882,11,311,413,,,,,,
2022-2023,,,,883,10,496,276,,,,,,
2022-2023,,,,884,9,215,124,,,,Victoria Richardson,30,5
2022-2023,,,,885,10,214,267,,,,,,
2022-2023,,,,886,11,284,458,,,,,,
2022-2023,,,,887,11,137,174,Nicholas Turner,21,2,Nicholas Turner,36,1
2022-2023,,,,888,11,438,243,,,,,,
2022-2023,,,,889,11,153,389,Elizabeth Scott,28,4,,,
2022-2023,,,,890,11,336,479,,,,,,
2022-2023,,,,891,9,312,455,,,,,,
2022-2023,,,,892,11,496,353,,,,,,
2022-2023,,,,893,9,252,305,,,,,,
2022-2023,,,,894,10,493,376,,,,,,
2022-2023,,,,895,11,178,369,Nicholas Turner,27,3,,,
2022-2023,,,,896,11,331,388,,,,,,
2022-2023,,,,897,11,446,291,,,,,,
2022-2023,,,,898,9,253,394,,,,,,
2022-2023,Willowbrook Heights School District,Toledo,OH,899,11,226,144,,,,Elizabeth Scott,12,1
2022-2023,,,,900,10,136,361,Samuel Gray,3,2,,,
2022-2023,,,,901,10,434,371,,,,,,
2022-2023,,,,902,11,432,234,,,,,,
2022-2023,,,,903,9,124,415,Ryan Hayes,13,4,,,
2022-2023,,,,904,10,498,462,,,,,,
2022-2023,,,,905,10,290,437,,,,,,
2022-2023,,,,906,11,377,218,,,,,,
2022-2023,,,,907,10,467,382,,,,,,
2022-2023,,,,908,11,413,404,,,,,,
2022-2023,,,,909,9,125,233,Evelyn Mitchell,5,5,,,
2022-2023,,,,910,10,214,265,,,,,,
2022-2023,,,,911,11,411,296,,,,,,
2022-2023,,,,912,9,306,240,,,,,,
2022-2023,,,,913,9,430,182,,,,Daniel Morgan,9,6
2022-2023,,,,914,9,471,394,,,,,,
2022-2023,,,,915,11,428,469,,,,,,
2022-2023,,,,916,10,292,404,,,,,,
2022-2023,,,,917,11,445,474,,,,,,
2022-2023,,,,918,10,344,320,,,,,,
2022-2023,,,,919,11,415,169,,,,Ava Parker,40,6
2022-2023,,,,920,11,493,280,,,,,,
2022-2023,,,,921,10,304,154,,,,Benjamin Cooper,25,4
2022-2023,,,,922,10,249,480,,,,,,
2022-2023,,,,923,11,265,281,,,,,,
2022-2023,,,,924,9,431,448,,,,,,
2022-2023,,,,925,11,402,418,,,,,,
2022-2023,,,,926,9,183,256,Harper Ward,39,4,,,
2022-2023,,,,927,9,189,379,Noah Hayes,24,1,,,
2022-2023,,,,928,11,220,149,,,,Daniel Morgan,21,5
2022-2023,,,,929,11,297,382,,,,,,
2022-2023,,,,930,9,138,432,Christopher Price,10,2,,,
2022-2023,,,,931,10,199,159,Christopher Price,15,1,Christopher Price,28,1
2022-2023,,,,932,9,474,259,,,,,,
2022-2023,,,,933,9,348,156,,,,Benjamin Cooper,23,1
2022-2023,,,,934,11,125,162,Alexander Gray,17,2,Alexander Gray,18,5
2022-2023,,,,935,10,256,390,,,,,,
2022-2023,,,,936,9,314,129,,,,Joshua Butler,14,5
2022-2023,,,,937,11,405,357,,,,,,
2022-2023,,,,938,10,197,291,William Carter,20,2,,,
2022-2023,,,,939,10,182,121,Daniel Wright,27,2,Daniel Wright,15,3
2022-2023,,,,940,10,134,485,Avery Foster,21,4,,,
2022-2023,,,,941,10,216,214,,,,,,
2022-2023,,,,942,10,135,133,Victoria Richardson,27,4,Victoria Richardson,24,2
2022-2023,,,,943,11,153,241,Avery Foster,40,4,,,
2022-2023,,,,944,11,223,357,,,,,,
2022-2023,,,,945,10,196,455,Aria Peterson,34,2,,,
2022-2023,,,,946,9,275,270,,,,,,
2022-2023,,,,947,11,375,126,,,,Logan Carter,19,2
2022-2023,,,,948,9,413,382,,,,,,
2022-2023,,,,949,9,155,140,Grace Murphy,18,1,Grace Murphy,39,1
2022-2023,,,,950,9,317,317,,,,,,
2022-2023,,,,951,11,164,298,Isabella Bennett,31,5,,,
2022-2023,,,,952,11,399,299,,,,,,
2022-2023,,,,953,10,428,190,,,,Michael Adams,23,1
2022-2023,,,,954,11,367,201,,,,,,
2022-2023,,,,955,11,479,220,,,,,,
2022-2023,,,,956,11,367,195,,,,Sofia Reed,17,1
2022-2023,,,,957,11,445,471,,,,,,
2022-2023,,,,958,9,342,179,,,,Abigail Nelson,7,1
2022-2023,,,,959,9,131,221,Noah Hayes,30,3,,,
2022-2023,,,,960,10,382,287,,,,,,
2022-2023,,,,961,10,224,491,,,,,,
2022-2023,,,,962,10,327,129,,,,Daniel Morgan,24,4
2022-2023,,,,963,9,161,326,Benjamin Cooper,3,6,,,
2022-2023,,,,964,10,478,272,,,,,,
2022-2023,,,,965,9,320,205,,,,,,
2022-2023,,,,966,11,200,497,,,,,,
2022-2023,,,,967,11,372,263,,,,,,
2022-2023,,,,968,11,442,219,,,,,,
2022-2023,,,,969,11,227,411,,,,,,
2022-2023,,,,970,10,289,341,,,,,,
2022-2023,,,,971,11,250,216,,,,,,
2022-2023,,,,972,11,220,362,,,,,,
2022-2023,,,,973,9,475,468,,,,,,
2022-2023,,,,974,9,235,170,,,,Emily Foster,6,5
2022-2023,,,,975,9,126,380,Charlotte Peterson,26,5,,,
2022-2023,,,,976,9,341,317,,,,,,
2022-2023,,,,977,11,450,498,,,,,,
2022-2023,,,,978,11,243,244,,,,,,
2022-2023,,,,979,10,427,138,,,,Ryan Hayes,22,4
2022-2023,,,,980,10,132,404,Ava Parker,8,4,,,
2022-2023,,,,981,9,331,357,,,,,,
2022-2023,,,,982,11,223,405,,,,,,
2022-2023,,,,983,9,246,344,,,,,,
2022-2023,,,,984,9,353,207,,,,,,
2022-2023,,,,985,11,396,244,,,,,,
2022-2023,,,,986,9,261,334,,,,,,
2022-2023,,,,987,9,358,322,,,,,,
2022-2023,,,,988,10,246,277,,,,,,
2022-2023,,,,989,11,371,482,,,,,,
2022-2023,,,,990,9,492,178,,,,Mia Richardson,3,4
2022-2023,,,,991,11,281,243,,,,,,
2022-2023,,,,992,10,162,141,Aria Peterson,20,3,Aria Peterson,26,4
2022-2023,,,,993,9,261,187,,,,Olivia Simmons,3,1
2022-2023,,,,994,10,185,469,Chloe Rivera,32,3,,,
2022-2023,,,,995,10,488,416,,,,,,
2022-2023,,,,996,10,375,153,,,,Avery Foster,28,5
2022-2023,,,,997,11,212,407,,,,,,
2022-2023,,,,998,11,196,399,Evelyn Mitchell,19,4,,,
2022-2023,,,,999,9,344,413,,,,,,
2022-2023,,,,1000,11,171,325,Ella Simmons,6,3,,,
2023-2024,Alderwood County Schools,Pompano Beach,FL,1,12,378,262,,,,,,
2023-2024,,,,2,11,419,186,,,,Olivia Simmons,6,5
2023-2024,,,,3,11,147,201,Henry Cooper,19,1,Henry Cooper,17,3
2023-2024,,,,4,11,153,329,James Turner,5,2,,,
2023-2024,,,,5,10,320,362,,,,,,
2023-2024,,,,6,11,289,338,,,,,,
2023-2024,,,,7,11,481,486,,,,,,
2023-2024,,,,8,10,238,450,,,,,,
2023-2024,,,,9,10,465,210,,,,Logan Carter,16,2
2023-2024,,,,10,10,203,263,Ethan Morgan,34,6,,,
2023-2024,,,,11,12,357,302,,,,,,
